UDH_Atlas,T_freq_basico,T_freq_fund,T_freq_medio,T_freq_superior,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1355030803007,92.75,95.45,56.33,10.49,0.480,0.650,0.702,0.588,0.837,0.704
1355030803008,88.91,95.82,44.77,11.87,0.587,0.698,0.737,0.659,0.849,0.715
1355030803009,94.32,98.16,55.49,34.13,0.742,0.812,0.851,0.788,0.914,0.856
1355030803010,92.45,95.41,49.81,14.81,0.555,0.700,0.730,0.648,0.844,0.711
1355030803011,93.82,96.06,68.02,34.13,0.742,0.812,0.851,0.788,0.914,0.856
1355030803012,87.20,89.37,37.02,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803013,92.64,96.25,52.00,14.28,0.575,0.762,0.743,0.694,0.837,0.705
1355030803014,91.98,95.17,40.69,10.29,0.575,0.707,0.729,0.660,0.837,0.701
1355030803015,93.33,95.31,46.78,10.73,0.517,0.651,0.727,0.603,0.861,0.741
1355030803016,84.97,90.91,29.77,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803017,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803018,92.92,95.54,47.11,10.75,0.528,0.613,0.681,0.583,0.804,0.673
1355030803019,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803020,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803021,97.22,98.43,77.54,14.28,0.575,0.762,0.743,0.694,0.837,0.705
1355030803022,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803024,93.33,95.31,46.78,10.73,0.517,0.651,0.727,0.603,0.861,0.741
1355030803025,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803026,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803027,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803028,92.47,96.33,54.81,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803029,91.56,95.63,49.41,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803030,92.92,95.54,47.11,10.75,0.528,0.613,0.681,0.583,0.804,0.673
1355030803031,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803032,89.47,93.56,44.84,14.28,0.575,0.762,0.743,0.694,0.837,0.705
1355030803033,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803034,85.55,91.16,29.79,10.75,0.528,0.613,0.681,0.583,0.804,0.673
1355030803035,87.82,91.85,34.11,6.03,0.493,0.696,0.682,0.620,0.778,0.657
1355030803036,92.59,96.20,44.69,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803037,86.11,91.28,32.42,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803038,88.55,93.20,33.29,14.79,0.535,0.678,0.683,0.627,0.776,0.655
1355030803039,84.97,90.91,29.77,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803040,91.94,95.18,36.57,10.29,0.575,0.707,0.729,0.660,0.837,0.701
1355030803041,93.93,96.69,62.99,14.46,0.671,0.764,0.770,0.732,0.857,0.729
1355030803042,92.64,96.25,52.00,14.28,0.575,0.762,0.743,0.694,0.837,0.705
1355030803043,88.82,92.42,48.34,10.73,0.517,0.651,0.727,0.603,0.861,0.741
1355030803044,91.56,95.63,49.41,18.76,0.659,0.790,0.792,0.744,0.878,0.760
1355030803045,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803046,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
1355030803047,87.20,89.37,37.02,6.73,0.419,0.634,0.678,0.552,0.806,0.699
