Cod_setor,Populacao
355030812000096,194
355030812000097,234
355030812000098,421
355030812000099,245
355030812000100,294
355030812000101,285
355030812000102,466
355030812000103,328
355030812000104,469
355030812000105,274
355030812000106,320
355030812000107,385
355030812000108,368
355030812000109,159
355030812000110,237
355030812000111,300
355030812000112,237
355030812000113,320
355030812000114,341
355030812000115,370
355030812000116,248
355030812000117,427
355030812000118,666
355030812000119,223
355030812000120,245
355030812000121,192
355030812000122,442
355030812000123,475
355030812000124,521
355030812000125,581
355030812000126,324
355030812000127,371
355030812000128,368
355030812000129,310
355030812000130,377
355030812000131,270
355030812000132,344
355030812000133,322
355030812000134,183
355030812000135,205
355030812000136,602
355030812000137,445
355030812000138,359
355030812000139,135
355030812000140,144
355030812000141,166
355030812000142,144
355030812000143,899
355030812000144,414
355030812000145,193
355030812000146,151
355030813000001,592
355030813000002,711
355030813000003,972
355030813000004,887
355030813000005,958
355030813000006,932
355030813000007,1508
355030813000008,903
355030813000009,990
355030813000010,1000
355030813000011,786
355030813000012,428
355030813000013,791
355030813000014,1041
355030813000015,1094
355030813000016,662
355030813000017,1021
355030813000018,554
355030813000020,445
355030813000021,473
355030813000022,423
355030813000023,610
355030813000024,684
355030813000025,732
355030813000026,855
355030813000027,741
355030813000028,730
355030813000029,829
355030813000030,811
355030813000031,746
355030813000032,539
355030813000033,667
355030813000034,379
355030813000035,752
355030813000036,800
355030813000037,501
355030813000038,715
355030813000039,1628
355030813000040,1021
355030813000042,1017
355030813000043,766
355030813000044,603
355030813000045,797
355030813000046,753
355030813000047,658
355030813000048,1229
355030813000049,1031
355030813000050,803
355030813000051,767
355030813000052,404
355030813000053,382
355030813000054,795
355030813000055,576
355030813000056,850
355030813000057,355
355030813000058,600
355030813000059,1144
355030813000060,516
355030813000061,676
355030813000062,1572
355030813000063,1304
355030813000064,1363
355030813000065,459
355030813000066,1070
355030813000067,806
355030813000068,718
355030813000069,726
355030813000070,550
355030813000071,829
355030813000072,811
355030813000073,606
355030813000074,940
355030813000075,867
355030813000076,298
355030813000077,756
355030813000078,642
355030813000079,809
355030813000080,510
355030813000081,662
355030813000082,260
355030813000083,722
355030813000084,436
355030813000085,290
355030813000086,1064
355030813000087,755
355030813000088,877
355030813000089,1263
355030813000090,535
355030813000091,538
355030813000092,282
355030813000093,1327
355030813000094,646
355030813000095,595
355030813000096,722
355030813000097,936
355030813000098,879
355030813000099,765
355030813000100,579
355030813000101,806
355030813000102,1825
355030813000103,1046
355030813000104,1084
355030813000105,1627
355030813000106,910
355030813000107,1019
355030813000108,389
355030813000109,415
355030813000110,979
355030813000111,307
355030813000112,775
355030813000113,605
355030813000114,471
355030813000115,891
355030813000116,913
355030813000117,459
355030813000118,850
355030813000119,589
355030813000120,519
355030813000121,336
355030813000122,387
355030813000123,537
355030813000124,397
355030813000125,535
355030813000126,144
355030813000127,662
355030813000128,533
355030813000129,394
355030813000130,613
355030813000131,525
355030813000132,755
355030813000133,536
355030813000134,513
355030813000135,1196
355030813000136,773
355030813000137,705
355030813000138,645
355030813000139,596
355030813000140,533
355030813000141,579
355030813000142,1480
355030813000143,441
355030813000144,612
355030813000145,1529
355030813000146,756
355030813000147,676
355030813000148,614
355030813000149,541
355030813000150,503
355030813000151,518
355030813000152,152
355030813000153,337
355030813000154,895
355030813000155,1218
355030813000156,540
355030813000157,964
355030813000158,1004
355030813000159,348
355030813000160,805
355030813000161,843
355030813000162,352
355030813000163,525
355030813000164,484
355030813000165,282
355030813000166,489
355030813000167,583
355030813000168,819
355030813000169,772
355030813000170,669
355030813000172,836
355030813000174,527
355030813000175,763
355030813000176,994
355030813000178,551
355030813000179,951
355030813000180,576
355030813000182,512
355030813000183,285
355030813000184,604
355030813000185,389
355030813000186,2242
355030813000187,175
355030813000188,451
355030813000189,388
355030813000190,375
355030813000191,388
355030813000192,494
355030813000193,177
355030813000194,645
355030813000195,71
355030813000198,157
355030813000199,439
355030813000200,599
355030813000201,444
355030813000202,428
355030813000203,7
355030813000204,2
355030813000205,108
355030813000206,39
355030813000208,267
355030813000209,125
355030813000210,604
355030813000211,222
355030813000213,336
355030813000214,411
355030813000215,261
355030813000217,377
355030813000218,329
355030813000219,263
355030813000220,151
355030813000221,239
355030813000222,141
355030813000223,190
355030813000224,666
355030813000225,379
355030813000226,162
355030813000227,236
355030813000228,21
355030814000001,734
355030814000002,912
355030814000003,985
355030814000004,614
355030814000005,538
355030814000006,359
355030814000007,804
355030814000008,650
355030814000009,412
355030814000010,470
355030814000011,653
355030814000012,504
355030814000013,495
355030814000014,1104
355030814000015,787
355030814000016,748
355030814000017,515
355030814000018,548
355030814000019,621
355030814000020,754
355030814000021,607
355030814000022,770
355030814000023,652
355030814000024,792
355030814000025,897
355030814000026,955
355030814000027,802
355030814000028,693
355030814000029,804
355030814000030,413
355030814000031,461
355030814000032,722
355030814000033,675
355030814000034,438
355030814000035,675
355030814000036,538
355030814000037,609
355030814000038,477
355030814000039,335
355030814000040,361
355030814000041,679
355030814000042,588
355030814000043,775
